tbl,Year,quarter,citymarketid,cityname,airportid,apt,TotalMkts,TotalFaredPax,TotalPerLFMkts,TotalAvgHubFare,TotalPerPrem,SHMkts,SHPax,SHPerLFMkts,SHAvgHubFare,SHPerPrem,LHMkts,LHPax,LHPerLFMkts,LHAvgHubFare,LHPerPrem,tbl7pk
Table 7,2014,2,30868,"Columbia, SC",10868,CAE,54,172070,0.0000,281.17,0.1302,26,96450,0.0000,258.23,0.1432,28,75620,0.0000,310.43,0.1168,2014210868CAE
Table 7,2010,3,30436,"Tucson, AZ",15376,TUS,74,641040,0.8528,188.91,-0.0534,12,232990,0.9939,127.46,-0.2008,62,408050,0.7722,224.00,0.0069,2010315376TUS
Table 7,2012,1,34783,"Springfield, MO",14783,SGF,31,81170,0.0000,211.43,-0.0463,5,20250,0.0000,287.52,0.6263,26,60920,0.0000,186.14,-0.2133,2012114783SGF
Table 7,2010,3,34108,"Peoria, IL",14108,PIA,30,72410,0.0000,175.70,-0.1507,6,12820,0.0000,218.14,0.2474,24,59590,0.0000,166.57,-0.2208,2010314108PIA
Table 7,2010,4,34574,"Roanoke, VA",14574,ROA,35,71100,0.0000,222.15,0.0713,17,38090,0.0000,195.18,0.0494,18,33010,0.0000,253.27,0.0915,2010414574ROA
Table 7,2015,1,30713,"Boise, ID",10713,BOI,54,441330,0.6303,201.72,-0.1508,19,334590,0.6001,166.90,-0.2204,35,106740,0.7252,310.86,-0.0007,2015110713BOI
Table 7,2009,3,31612,"Evansville, IN",11612,EVV,21,24130,0.0000,261.56,0.6521,7,13240,0.0000,255.74,1.4054,14,10890,0.0000,268.63,0.2126,2009311612EVV
Table 7,2008,4,35096,"Syracuse, NY",15096,SYR,69,381440,0.5242,204.19,0.0237,33,150810,0.4510,184.75,0.1060,36,230630,0.5720,216.91,-0.0170,2008415096SYR
Table 7,2009,4,34699,"Steamboat Springs, CO",12094,HDN,7,10940,0.0000,265.49,0.4320,,,,,,7,10940,0.0000,265.49,0.4320,2009412094HDN
Table 7,2014,2,30852,"Washington, DC (Metropolitan Area)",11278,DCA,175,3860830,0.5407,242.51,0.1192,73,1891360,0.3922,216.67,0.1910,102,1969470,0.6834,267.33,0.0690,2014211278DCA
Table 7,2009,4,34761,"Sanford, FL",14761,SFB,27,148960,0.0000,98.00,-0.4709,9,45960,0.0000,86.04,-0.5204,18,103000,0.0000,103.34,-0.4499,2009414761SFB
Table 7,2020,1,32457,"San Francisco, CA (Metropolitan Area)",14771,SFO,137,4165520,0.5833,249.33,0.0456,27,1550440,0.6165,151.31,-0.1009,110,2615080,0.5636,307.45,0.0978,2020114771SFO
Table 7,2015,2,34057,"Portland, OR",14057,PDX,116,2712100,0.8959,218.18,-0.0795,20,723970,0.6823,155.49,-0.1077,96,1988130,0.9737,241.00,-0.0726,2015214057PDX
Table 7,2015,2,33214,"San Antonio, TX",14683,SAT,113,1555190,0.8584,239.17,0.0290,26,312250,0.7598,209.02,-0.0963,87,1242940,0.8832,246.74,0.0602,2015214683SAT
Table 7,2012,3,31995,"Greensboro/High Point, NC",11995,GSO,60,286810,0.0000,228.87,0.0019,37,179610,0.0000,207.45,0.0386,23,107200,0.0000,264.75,-0.0426,2012311995GSO
Table 7,2010,2,30476,"Shreveport, LA",14814,SHV,24,49360,0.0000,285.01,0.3243,7,14660,0.0000,330.82,0.4634,17,34700,0.0000,265.65,0.2612,2010214814SHV
Table 7,2012,4,30852,"Washington, DC (Metropolitan Area)",10821,BWI,168,3397830,0.9267,186.50,-0.0702,75,1590460,0.9229,156.73,-0.0343,93,1807370,0.9300,212.70,-0.0921,2012410821BWI
Table 7,2010,1,30466,"Phoenix, AZ",14107,PHX,153,4711900,0.8441,180.13,-0.0308,30,1769770,0.9681,133.19,-0.0445,123,2942130,0.7695,208.37,-0.0255,2010114107PHX
Table 7,2017,4,31714,"Fort Myers, FL",14635,RSW,88,1537890,0.9123,219.56,0.0389,9,94980,0.7403,221.88,0.0955,79,1442910,0.9236,219.41,0.0354,2017414635RSW
Table 7,2010,4,32457,"San Francisco, CA (Metropolitan Area)",13796,OAK,157,1977480,0.9670,151.24,-0.0915,23,1427430,0.9916,124.29,-0.1096,134,550050,0.9031,221.19,-0.0637,2010413796OAK
Table 7,2014,1,31703,"New York City, NY (Metropolitan Area)",12197,HPN,152,316550,0.6137,235.74,0.1415,48,38470,0.0000,254.56,0.2158,104,278080,0.6986,233.13,0.1311,2014112197HPN
Table 7,2010,3,32884,"Lansing, MI",12884,LAN,10,11870,0.0000,228.10,0.1279,9,9970,0.0000,232.04,0.1416,1,1900,0.0000,207.44,0.0539,2010312884LAN
Table 7,2014,3,30747,"Brownsville, TX",10747,BRO,8,11950,0.0000,214.37,-0.0467,4,9590,0.0000,187.33,-0.0821,4,2360,0.0000,324.25,0.0485,2014310747BRO
Table 7,2008,2,32448,"Jackson/Vicksburg, MS",12448,JAN,59,269460,0.7101,200.93,-0.0493,22,144190,0.6811,177.18,-0.1192,37,125270,0.7435,228.28,0.0233,2008212448JAN
Table 7,2014,3,30647,"Cleveland, OH (Metropolitan Area)",11042,CLE,91,1228480,0.7581,254.99,0.1556,44,583170,0.5632,239.56,0.2587,47,645310,0.9342,268.93,0.0842,2014311042CLE
Table 7,2012,2,30562,"Mobile, AL",13422,MOB,33,63770,0.0000,302.99,0.3641,6,24210,0.0000,279.64,0.6993,27,39560,0.0000,317.28,0.2329,2012213422MOB
Table 7,2014,1,33667,"Norfolk, VA (Metropolitan Area)",14098,PHF,77,76370,0.1935,234.03,-0.0285,39,36530,0.0000,208.09,-0.0726,38,39840,0.3710,257.81,0.0070,2014114098PHF
Table 7,2013,2,32211,"Las Vegas, NV",12889,LAS,164,6766890,0.9016,188.72,-0.1454,34,2248730,0.9320,130.98,-0.2223,130,4518160,0.8865,217.46,-0.1193,2013212889LAS
Table 7,2011,4,30466,"Phoenix, AZ",14107,PHX,152,4815860,0.8807,191.74,-0.0795,30,1799450,0.9588,145.14,-0.0786,122,3016410,0.8341,219.55,-0.0799,2011414107PHX
Table 7,2009,1,32323,"Wilmington, NC",12323,ILM,42,84290,0.0000,177.09,-0.1165,25,56330,0.0000,166.64,-0.1413,17,27960,0.0000,198.13,-0.0709,2009112323ILM
Table 7,2012,4,30928,"Wichita, KS",12278,ICT,53,230410,0.7694,221.25,-0.0322,10,54000,0.4035,254.91,0.4987,43,176410,0.8814,210.95,-0.1443,2012412278ICT
Table 7,2014,3,30977,"Chicago, IL",13232,MDW,157,2950910,0.9892,199.54,-0.0159,71,1160890,0.9874,181.00,0.0197,86,1790020,0.9903,211.57,-0.0346,2014313232MDW
Table 7,2009,1,31504,"Valparaiso, FL",15624,VPS,34,76480,0.0000,242.55,0.2021,7,22670,0.0000,247.16,0.1304,27,53810,0.0000,240.61,0.2360,2009115624VPS
Table 7,2011,4,31714,"Fort Myers, FL",14635,RSW,84,1435150,0.9275,201.62,-0.0429,8,77750,0.9676,194.45,0.0312,76,1357400,0.9252,202.03,-0.0467,2011414635RSW
Table 7,2016,2,33277,"Montgomery, AL",13277,MGM,22,28740,0.0000,288.72,0.2015,9,19370,0.0000,281.78,0.2230,13,9370,0.0000,303.07,0.1622,2016213277MGM
Table 7,2017,3,32575,"Los Angeles, CA (Metropolitan Area)",12954,LGB,145,727800,0.9740,129.64,-0.2633,21,503630,0.9736,101.40,-0.3300,124,224170,0.9749,193.08,-0.1652,2017312954LGB
Table 7,2008,3,33029,"Lincoln, NE",13029,LNK,19,34550,0.0000,219.99,0.0273,5,17970,0.0000,213.21,0.0733,14,16580,0.0000,227.33,-0.0156,2008313029LNK
Table 7,2012,4,31921,"Grand Junction, CO",11921,GJT,25,39980,0.0000,246.69,-0.0043,8,19260,0.0000,208.95,-0.1278,17,20720,0.0000,281.78,0.1035,2012411921GJT
Table 7,2012,2,34761,"Sanford, FL",14761,SFB,39,252970,0.0000,109.93,-0.5084,12,74610,0.0000,82.49,-0.6262,27,178360,0.0000,121.41,-0.4601,2012214761SFB
Table 7,2008,2,33728,"Pensacola, FL",14193,PNS,59,309480,0.9093,209.47,0.0143,20,116480,0.9709,201.56,-0.0051,39,193000,0.8721,214.24,0.0256,2008214193PNS
Table 7,2014,1,31066,"Columbus, OH",11066,CMH,80,1086840,0.7871,237.40,0.1293,41,477260,0.6957,235.35,0.3150,39,609580,0.8587,239.01,0.0185,2014111066CMH
Table 7,2010,4,34457,"Rapid City, SD",14457,RAP,26,50750,0.0000,207.52,0.0539,2,10040,0.0000,225.46,0.4226,24,40710,0.0000,203.10,-0.0159,2010414457RAP
Table 7,2019,3,34108,"Peoria, IL",14108,PIA,38,100870,0.4647,188.97,-0.2128,9,26380,0.1296,237.65,0.1230,29,74490,0.5833,171.73,-0.3135,2019314108PIA
Table 7,2008,1,31123,"St. Louis, MO",15016,STL,101,1900480,0.7587,170.37,-0.0246,47,871410,0.6640,143.47,-0.0820,54,1029070,0.8390,193.15,0.0154,2008115016STL
Table 7,2014,3,30185,"Alexandria, LA",10185,AEX,14,12210,0.0000,277.41,0.1050,3,4780,0.0000,248.71,0.1668,11,7430,0.0000,295.87,0.0743,2014310185AEX
Table 7,2019,2,34685,"Savannah, GA",14685,SAV,79,592600,0.4870,227.10,0.0538,27,203560,0.5287,204.49,-0.0487,52,389040,0.4652,238.94,0.1073,2019214685SAV
Table 7,2010,2,32467,"Miami, FL (Metropolitan Area)",11697,FLL,140,3693890,0.9361,159.68,-0.1848,32,536290,0.8982,135.48,-0.1727,108,3157600,0.9426,163.79,-0.1865,2010211697FLL
Table 7,2018,2,32457,"San Francisco, CA (Metropolitan Area)",13796,OAK,162,2297670,0.9920,167.13,-0.1584,25,1499670,0.9974,137.93,-0.1788,137,798000,0.9819,222.02,-0.1333,2018213796OAK
Table 7,2008,4,34236,"Paso Robles/San Luis Obispo, CA",14698,SBP,15,21560,0.0000,233.81,0.0414,3,9370,0.0000,172.27,0.0143,12,12190,0.0000,281.12,0.0547,2008414698SBP
Table 7,2014,4,31295,"Detroit, MI",11433,DTW,121,3094820,0.8001,237.18,0.0956,69,1344410,0.6490,238.21,0.3019,52,1750410,0.9162,236.39,-0.0241,2014411433DTW
Table 7,2016,2,35412,"Knoxville, TN",15412,TYS,59,272540,0.3246,265.03,0.1076,32,163190,0.3331,229.21,-0.0046,27,109350,0.3118,318.47,0.2602,2016215412TYS
Table 7,2010,3,30615,"El Paso, TX",11540,ELP,72,582190,0.7877,199.04,0.0171,21,322560,0.8958,173.98,0.0263,51,259630,0.6533,230.19,0.0087,2010311540ELP
Table 7,2010,2,33486,"Missoula, MT",13486,MSO,29,71060,0.0000,207.42,-0.0350,5,28380,0.0000,180.67,-0.0746,24,42680,0.0000,225.21,-0.0124,2010213486MSO
Table 7,2013,1,34524,"Richmond, VA",14524,RIC,62,497340,0.5538,230.61,0.0052,31,279740,0.5839,211.30,0.0257,31,217600,0.5152,255.44,-0.0158,2013114524RIC
Table 7,2011,4,33795,"Jacksonville/Camp Lejeune, NC",13795,OAJ,23,30320,0.0000,243.86,-0.0975,15,18220,0.0000,203.81,-0.2406,8,12100,0.0000,304.16,0.1142,2011413795OAJ
